geo,sex,Allergy,Arthrosis,Asthma,Chronic depression,Cirrhosis of the liver,Coronary heart disease,Diabetes,Heart attack,High blood pressure,Kidney problems,Low back disorder,Lower Respiratory Diseases,Neck disorder,Stroke,Urinary incontinence
Austria,Females,26.5,15.4,4.7,9.5,0.2,2.2,4.5,0.6,21.7,1.8,25.8,4.4,22.7,0.8,5.2
Austria,Males,21.8,8.3,4.0,5.7,0.2,2.1,5.4,1.4,20.5,1.1,22.9,4.0,14.1,0.8,2.0
Austria,Total,24.2,12.0,4.4,7.7,0.2,2.2,4.9,1.0,21.1,1.5,24.4,4.2,18.5,0.8,3.6
Belgium,Females,15.6,21.2,4.2,8.3,0.6,1.2,5.2,0.8,17.3,0.9,22.7,4.4,14.3,0.9,5.4
Belgium,Males,12.7,11.8,4.4,4.9,0.7,1.7,5.4,1.3,15.6,1.0,18.7,3.5,9.1,1.1,2.9
Belgium,Total,14.2,16.7,4.3,6.7,0.6,1.5,5.3,1.0,16.5,1.0,20.8,4.0,11.8,1.0,4.2
Bulgaria,Females,5.7,10.2,3.3,4.2,0.3,10.2,7.3,1.7,33.0,6.7,12.1,5.1,6.9,2.6,2.6
Bulgaria,Males,2.9,4.5,2.1,2.1,0.4,7.9,5.4,2.7,26.0,4.9,7.9,4.1,3.5,2.8,3.1
Bulgaria,Total,4.4,7.5,2.7,3.2,0.3,9.1,6.4,2.2,29.6,5.8,10.1,4.6,5.3,2.7,2.8
Croatia,Females,15.6,8.2,3.2,6.2,0.4,5.6,7.2,1.7,26.7,5.5,32.5,4.2,27.3,2.6,7.2
Croatia,Males,11.0,3.7,2.9,5.1,0.8,4.6,7.1,2.5,22.3,3.2,25.1,4.3,17.8,2.2,5.7
Croatia,Total,13.4,6.0,3.0,5.7,0.6,5.1,7.1,2.1,24.6,4.4,29.0,4.2,22.7,2.4,6.5
Cyprus,Females,7.5,5.4,4.7,4.7,0.1,0.9,5.2,1.7,16.9,1.2,14.9,2.4,10.0,1.2,1.9
Cyprus,Males,4.9,2.8,3.9,2.5,0.5,2.4,6.9,3.2,17.8,2.0,10.9,1.7,4.6,1.4,1.0
Cyprus,Total,6.2,4.1,4.3,3.6,0.3,1.6,6.1,2.4,17.3,1.6,13.0,2.1,7.4,1.3,1.5
Czech Republic,Females,14.0,14.6,5.5,4.6,0.2,4.2,8.0,1.2,23.9,2.5,19.4,2.0,14.0,1.4,5.9
Czech Republic,Males,9.2,9.9,3.6,3.1,0.3,4.5,7.3,2.1,23.5,2.1,17.0,2.3,6.9,1.3,3.8
Czech Republic,Total,11.7,12.3,4.5,3.9,0.2,4.3,7.7,1.6,23.7,2.3,18.3,2.1,10.5,1.3,4.9
Denmark,Females,17.9,20.5,6.5,9.4,0.3,1.7,3.9,0.6,17.5,1.4,14.5,3.0,9.1,1.0,7.4
Denmark,Males,14.6,14.0,6.5,6.6,0.2,2.1,5.3,1.3,17.9,1.8,12.2,3.8,5.6,1.3,6.0
Denmark,Total,16.3,17.3,6.5,8.0,0.3,1.9,4.6,0.9,17.7,1.6,13.4,3.4,7.3,1.1,6.7
Estonia,Females,10.8,4.9,3.4,5.4,0.3,6.8,6.2,1.3,25.6,3.0,25.3,2.5,12.3,0.8,3.8
Estonia,Males,6.1,2.0,2.7,4.0,0.3,4.2,4.7,1.5,19.8,1.3,22.6,1.9,6.2,1.2,1.0
Estonia,Total,8.7,3.6,3.1,4.8,0.3,5.6,5.5,1.4,22.9,2.2,24.1,2.2,9.5,1.0,2.5
European Union - 28 countries,Females,19.0,17.9,6.6,8.8,0.3,3.3,6.8,1.1,21.7,2.8,25.6,4.3,21.0,1.3,6.5
European Union - 28 countries,Males,14.6,10.0,5.2,5.3,0.4,3.6,7.1,2.1,20.2,2.4,20.6,3.9,12.6,1.4,3.6
European Union - 28 countries,Total,16.9,14.1,5.9,7.1,0.4,3.4,6.9,1.6,21.0,2.6,23.2,4.1,16.9,1.3,5.1
Finland,Females,36.5,25.6,11.0,11.9,0.2,4.7,6.3,1.1,23.9,1.4,35.0,2.8,41.4,1.0,13.4
Finland,Males,26.3,16.8,7.2,9.0,0.3,5.3,9.2,2.3,26.0,1.5,32.1,3.2,26.4,2.1,4.4
Finland,Total,31.6,21.4,9.2,10.5,0.3,5.0,7.7,1.7,24.9,1.4,33.6,3.0,34.2,1.5,9.1
France,Females,16.5,24.6,9.5,7.7,0.1,1.3,10.5,0.8,14.9,2.0,31.3,6.2,19.8,1.1,7.2
France,Males,11.5,14.9,8.0,3.9,0.1,2.7,9.5,1.4,13.9,2.0,27.6,4.9,11.4,1.0,3.5
France,Total,14.1,20.0,8.8,5.9,0.1,2.0,10.0,1.1,14.4,2.0,29.6,5.6,15.8,1.0,5.4
Germany,Females,32.3,20.9,6.9,12.1,0.2,3.1,6.4,0.9,27.8,2.1,41.2,5.3,40.3,1.5,10.3
Germany,Males,25.6,12.8,5.3,9.0,0.3,4.7,8.0,2.4,29.2,1.9,35.1,5.2,25.9,1.4,5.7
Germany,Total,29.0,17.0,6.1,10.6,0.3,3.9,7.2,1.6,28.5,2.0,38.2,5.3,33.2,1.5,8.1
Greece,Females,11.5,9.4,5.2,6.0,0.3,2.9,9.6,1.2,22.5,3.1,21.4,2.9,14.0,2.1,4.0
Greece,Males,7.2,3.5,3.6,3.2,0.2,3.9,8.8,3.1,19.1,2.3,14.1,3.7,6.2,2.0,2.3
Greece,Total,9.5,6.6,4.4,4.7,0.2,3.4,9.2,2.1,20.9,2.7,17.9,3.2,10.3,2.1,3.2
Hungary,Females,15.9,22.6,5.6,6.5,0.4,5.2,8.1,2.1,34.2,2.2,31.7,5.1,17.2,2.1,6.5
Hungary,Males,13.6,17.1,4.1,3.1,0.6,4.6,8.0,2.6,29.4,2.4,28.8,3.1,11.0,2.7,3.8
Hungary,Total,14.8,20.0,4.9,4.9,0.5,4.9,8.1,2.4,31.9,2.3,30.4,4.1,14.3,2.4,5.2
Iceland,Females,25.2,19.1,10.8,17.2,0.0,2.9,3.7,1.2,20.3,3.1,29.1,4.5,19.9,1.0,9.3
Iceland,Males,21.4,10.0,6.9,12.3,0.1,4.1,4.8,3.2,18.5,2.4,21.8,3.4,10.3,1.6,5.5
Iceland,Total,23.3,14.6,8.9,14.8,0.0,3.5,4.3,2.2,19.4,2.8,25.4,3.9,15.1,1.3,7.4
Ireland,Females,16.1,3.2,9.9,13.4,0.2,2.2,3.7,0.7,15.3,4.2,18.7,2.8,8.9,0.6,9.0
Ireland,Males,10.2,3.5,8.1,10.8,0.5,3.3,5.6,1.9,15.6,3.0,16.9,3.0,7.1,0.9,4.9
Ireland,Total,13.2,3.3,9.0,12.1,0.3,2.8,4.6,1.3,15.5,3.6,17.8,2.9,8.1,0.7,7.0
Italy,Females,16.0,23.2,4.9,7.1,0.3,2.4,6.6,1.3,21.4,3.7,21.2,5.2,21.6,1.4,5.3
Italy,Males,13.7,12.0,4.7,3.8,0.4,2.7,6.8,2.8,19.8,3.6,16.2,4.9,12.6,1.4,3.9
Italy,Total,14.9,17.8,4.8,5.5,0.3,2.5,6.7,2.0,20.6,3.7,18.8,5.1,17.3,1.4,4.6
Latvia,Females,14.5,16.2,4.3,11.5,0.6,7.9,5.7,1.3,34.8,8.5,40.0,5.0,29.6,1.2,12.7
Latvia,Males,7.7,6.6,2.5,6.0,0.7,4.9,3.3,1.0,22.8,3.4,31.2,2.8,15.3,1.1,5.3
Latvia,Total,11.5,11.9,3.5,9.1,0.7,6.6,4.7,1.1,29.4,6.2,36.1,4.0,23.2,1.2,9.4
Lithuania,Females,10.0,11.5,3.1,6.1,0.4,8.7,5.4,1.8,33.2,6.2,27.3,7.3,13.6,2.7,7.1
Lithuania,Males,4.7,4.0,2.2,2.9,0.6,6.0,3.2,2.7,21.9,3.8,22.5,4.6,6.2,2.5,3.7
Lithuania,Total,7.6,8.1,2.7,4.7,0.5,7.5,4.4,2.2,28.1,5.1,25.1,6.1,10.3,2.6,5.6
Luxembourg,Females,27.4,22.1,7.3,10.7,0.3,2.3,4.2,0.4,15.2,3.2,31.3,5.4,18.5,0.8,7.1
Luxembourg,Males,22.4,12.6,6.3,8.2,0.3,2.7,6.9,1.6,17.8,2.7,28.2,5.7,12.1,1.5,4.3
Luxembourg,Total,25.0,17.4,6.8,9.5,0.3,2.5,5.6,1.0,16.5,3.0,29.8,5.5,15.3,1.2,5.7
Malta,Females,17.3,15.9,6.7,6.5,0.4,2.5,7.6,0.7,21.6,0.6,15.3,1.5,8.2,0.4,3.8
Malta,Males,13.7,9.1,4.7,4.2,0.4,2.6,8.9,1.7,21.2,1.0,11.3,0.8,4.4,0.4,1.5
Malta,Total,15.5,12.5,5.8,5.4,0.4,2.6,8.3,1.2,21.4,0.8,13.3,1.1,6.3,0.4,2.7
Netherlands,Females,21.5,18.5,6.5,9.1,0.3,1.7,4.9,0.4,17.6,2.1,12.2,6.1,13.1,0.4,10.3
Netherlands,Males,16.5,11.7,4.5,6.6,0.2,2.2,5.9,0.4,16.0,1.8,9.4,4.8,8.3,0.3,2.7
Netherlands,Total,19.0,15.2,5.5,7.9,0.3,1.9,5.4,0.4,16.8,2.0,10.8,5.5,10.7,0.3,6.6
Norway,Females,21.1,13.2,8.1,9.0,0.2,1.8,4.0,1.0,12.5,0.6,15.1,2.5,12.1,1.3,3.1
Norway,Males,16.8,7.1,5.3,4.9,0.3,1.5,4.4,2.0,12.8,0.6,14.1,2.8,7.4,1.2,1.2
Norway,Total,18.9,10.1,6.7,6.9,0.2,1.7,4.2,1.5,12.7,0.6,14.6,2.6,9.7,1.3,2.2
Poland,Females,10.4,19.6,4.6,5.6,0.5,9.9,6.9,2.4,25.2,4.8,28.4,3.5,21.0,1.9,6.1
Poland,Males,6.7,10.3,3.5,2.7,0.7,8.0,6.4,4.0,20.7,3.3,21.2,2.8,13.0,2.2,2.1
Poland,Total,8.7,15.2,4.1,4.2,0.6,9.0,6.6,3.1,23.1,4.1,25.0,3.1,17.2,2.0,4.2
Portugal,Females,23.1,31.8,5.9,17.2,0.5,5.3,9.2,1.6,28.6,5.4,39.7,6.7,31.6,1.9,9.6
Portugal,Males,15.3,15.4,4.1,5.9,0.8,3.1,9.4,1.9,21.6,3.6,25.3,4.7,15.5,1.9,4.8
Portugal,Total,19.4,24.1,5.0,11.9,0.6,4.3,9.3,1.7,25.3,4.6,33.0,5.8,24.1,1.9,7.3
Romania,Females,1.8,6.2,2.1,2.0,0.4,4.1,5.7,1.1,21.1,2.4,12.6,1.7,8.3,1.4,1.3
Romania,Males,0.9,3.0,1.8,1.0,0.6,2.7,3.8,1.3,12.9,1.4,9.3,2.3,4.0,1.2,1.6
Romania,Total,1.4,4.6,2.0,1.5,0.5,3.4,4.8,1.2,17.1,1.9,11.0,2.0,6.2,1.3,1.5
Slovakia,Females,15.6,15.3,4.9,5.3,0.6,6.6,7.3,2.1,29.0,4.0,19.7,3.1,17.5,1.8,5.1
Slovakia,Males,10.8,8.1,2.8,3.0,0.6,5.4,6.4,2.8,22.5,3.1,13.2,2.4,8.4,2.0,3.1
Slovakia,Total,13.3,11.8,3.9,4.2,0.6,6.0,6.9,2.5,25.8,3.5,16.6,2.7,13.1,1.9,4.2
Slovenia,Females,19.8,6.2,5.4,10.7,0.2,3.4,6.3,1.1,25.0,6.2,41.0,4.3,27.8,1.1,10.6
Slovenia,Males,13.3,2.6,4.6,6.9,0.9,3.1,7.4,1.6,24.5,3.8,35.4,4.0,18.3,1.9,5.8
Slovenia,Total,16.6,4.5,5.0,8.8,0.5,3.2,6.9,1.3,24.8,5.0,38.3,4.1,23.1,1.5,8.2
Spain,Females,16.1,23.1,4.9,10.7,0.7,0.8,6.4,0.5,19.1,3.0,22.7,3.1,22.0,0.7,5.1
Spain,Males,12.0,11.1,4.0,4.8,0.8,0.9,7.3,0.9,18.3,2.5,15.5,3.6,10.7,1.0,3.1
Spain,Total,14.1,17.3,4.5,7.8,0.7,0.8,6.8,0.7,18.7,2.8,19.2,3.3,16.5,0.8,4.1
Sweden,Females,24.4,16.5,9.1,12.1,0.1,1.5,4.2,0.6,17.3,1.1,16.8,1.7,17.6,1.2,9.4
Sweden,Males,19.7,8.5,6.1,7.1,0.3,1.5,5.3,1.7,15.1,2.0,12.7,1.3,12.5,1.1,4.1
Sweden,Total,22.1,12.5,7.6,9.6,0.2,1.5,4.8,1.2,16.2,1.6,14.8,1.5,15.1,1.2,6.8
Turkey,Females,15.3,10.6,10.5,14.5,1.8,9.5,11.1,1.9,20.9,8.7,39.3,9.1,28.5,0.8,10.2
Turkey,Males,8.9,5.4,5.2,7.4,1.4,7.4,6.8,2.1,11.2,6.2,26.5,6.3,14.0,0.9,4.8
Turkey,Total,12.1,8.0,7.9,11.0,1.6,8.5,9.0,2.0,16.1,7.5,33.0,7.7,21.3,0.8,7.5
United Kingdom,Females,22.5,2.7,10.7,10.4,0.2,2.5,5.0,0.9,15.9,1.8,14.3,2.4,6.6,1.0,3.4
United Kingdom,Males,17.9,1.8,8.0,7.3,0.3,3.6,6.6,2.0,16.8,1.9,11.6,2.8,4.9,1.2,2.3
United Kingdom,Total,20.3,2.2,9.4,8.9,0.3,3.0,5.8,1.4,16.4,1.8,13.0,2.6,5.8,1.1,2.8
